user_input,emotion_label,bot_response
"Honestly, I feel fantastic today.",joy,I’m glad you’re having such a positive moment. Let yourself enjoy it without overthinking it.
I guess i’m disgusted by what happened.,disgust,Your reaction sounds strong and understandable given what you encountered. Creating some distance may help There’s no need to rush your response.
"Honestly, I feel fantastic more than usual.",joy,I’m glad you’re having such a positive moment. Let yourself enjoy it without overthinking it.
"For some reason, that is just gross this morning.",disgust,I hear how strongly you dislike it. Sometimes the best response is simply to remove yourself from the unpleasant situation.
"Right now, i’m not sure what I’m feeling lately.",neutral,That’s okay. You don’t need to label everything immediately; we can explore it together.
"For some reason, i’m so angry right now for some reason.",anger,It sounds like something really pushed your limits. You can acknowledge the anger without letting it choose your next move.
"Right now, my mind won’t stop worrying for some reason.",fear,"When worries keep looping, it can help to pause and notice what is actually happening in the present moment."
"Lately, i’m not sure what I’m feeling today.",neutral,That’s okay. You don’t need to label everything immediately; we can explore it together You can take it one moment at a time.
"Honestly, i have a bad feeling at the moment.",fear,That uneasy feeling can be unsettling. Take a slow breath and give yourself a moment to separate the feeling from the facts you know.
"Right now, i’m excited about what’s next today.",joy,That excitement can be a great source of energy. Let it carry you forward one step at a time.
"Honestly, i’m scared about tomorrow after everything that happened.",fear,"Uncertainty can make tomorrow feel much bigger than it is. For now, focus on what you can handle today."
"Right now, i want to yell for some reason.",anger,That urge can be intense. Giving yourself a pause can create room to express what’s wrong without escalating things.
"Honestly, I feel fantastic this morning.",joy,I’m glad you’re having such a positive moment. Let yourself enjoy it without overthinking it.
"Honestly, everything feels uncertain tonight.",fear,Uncertainty can make even ordinary decisions feel harder. Focus on the next clear choice rather than solving everything at once.
I guess i’m annoyed beyond words after everything that happened.,anger,That sounds like a lot of irritation building up. A short break may help you sort out what specifically crossed the line There’s no need to rush your response.
I’m proud of myself at the moment.,joy,You have every reason to pause and recognize what you accomplished.
I just want to cry lately.,sadness,Sometimes tears are simply a way of letting emotion out. You can give yourself a quiet moment.
"Lately, i’m fed up with this at the moment.",anger,It sounds like you’ve reached your limit. You deserve a moment to step back and breathe before deciding what to do next You can take it one moment at a time.
So frustrated this morning.,anger,I can understand why that would feel frustrating. A little space before responding may help you regain control.
Absolutely unpleasant at the moment.,disgust,Sounds like a seriously unpleasant experience. Give yourself a little space from it There’s no need to rush your response.
I feel really anxious about this honestly.,fear,"It sounds like this situation has your mind on high alert. Try narrowing your attention to the next small, manageable step."
"For some reason, i have a question tonight.",neutral,"Sure, go ahead. I’ll do my best to help you work through it."
"For some reason, i’m deeply uncomfortable with this.",disgust,"Your discomfort matters. You can pause, create some distance, and decide what boundary feels right."
"Honestly, today just hurts for some reason.",sadness,"I hear how painful today feels. For now, being gentle with yourself is enough."
I’m furious lately.,anger,It sounds like something really pushed your limits. You can acknowledge the anger without letting it choose your next move.
Feeling great tonight.,joy,That happiness sounds lovely. Give yourself permission to enjoy this moment.
Can we talk honestly.,neutral,That’s okay. You don’t need to label everything immediately; we can explore it together.
"For some reason, wait, that actually happened more than usual.",surprise,That sounds like quite a surprise. Give yourself a moment to take it in.
"Honestly, seriously? I’m stunned for some reason.",surprise,You sound genuinely surprised. Take a breath and give yourself time to process the new information.
I’m annoyed beyond words honestly.,anger,That sounds like a lot of irritation building up. A short break may help you sort out what specifically crossed the line.
"Right now, i’m just checking in more than usual.",neutral,I’m here with you. What would you like to talk about?
What a surprise today.,surprise,Unexpected moments can take a second to process. What part surprised you most?
I guess today feels special after everything that happened.,joy,There’s something refreshing about a day that feels special. Enjoy it at your own pace There’s no need to rush your response.
"Honestly, that was completely unexpected for some reason.",surprise,Sounds like the situation changed quickly. Take some time to process what happened.
Can we talk after everything that happened.,neutral,That’s okay. You don’t need to label everything immediately; we can explore it together.
I guess i just want to cry more than usual.,sadness,Sometimes tears are simply a way of letting emotion out. You can give yourself a quiet moment There’s no need to rush your response.
"Honestly, i’m excited about what’s next today.",joy,That excitement can be a great source of energy. Let it carry you forward one step at a time.
"Honestly, i’m proud of myself.",joy,You have every reason to pause and recognize what you accomplished.
"Honestly, today feels special at the moment.",joy,There’s something refreshing about a day that feels special. Enjoy it at your own pace.
Today just hurts this morning.,sadness,"I hear how painful today feels. For now, being gentle with yourself is enough."
"Honestly, i’m disgusted by what happened after everything that happened.",disgust,Your reaction sounds strong and understandable given what you encountered. Creating some distance may help.
I just want to cry today.,sadness,Sometimes tears are simply a way of letting emotion out. You can give yourself a quiet moment.
"Lately, i’m disgusted by what happened at the moment.",disgust,Your reaction sounds strong and understandable given what you encountered. Creating some distance may help You can take it one moment at a time.
"Right now, i can’t believe it at the moment.",surprise,That sounds like a big surprise. Let yourself absorb the moment before deciding what it means.
Feeling great today.,joy,There’s something refreshing about a day that feels special. Enjoy it at your own pace You can take it one moment at a time.
"For some reason, i have a question today.",neutral,"Sure, go ahead. I’ll do my best to help you work through it."
"For some reason, i did not see that coming more than usual.",surprise,Unexpected moments can take a second to process. What part surprised you most?
I had such a good day after everything that happened.,joy,I’m happy your day treated you well. Those ordinary good days are worth noticing.
I’m annoyed beyond words for some reason.,anger,That sounds like a lot of irritation building up. A short break may help you sort out what specifically crossed the line.
"Right now, i’m shocked by the news after everything that happened.",surprise,It makes sense to need a moment after surprising news. You don’t have to react immediately.
"Right now, i want to yell more than usual.",anger,That urge can be intense. Giving yourself a pause can create room to express what’s wrong without escalating things.
Got some amazing news after everything that happened.,joy,Wonderful news can brighten everything. What part of it feels best to you?
"Lately, i’m fed up with this this morning.",anger,It sounds like you’ve reached your limit. You deserve a moment to step back and breathe before deciding what to do next You can take it one moment at a time.
"Lately, i did not see that coming this morning.",surprise,Unexpected moments can take a second to process. What part surprised you most? You can take it one moment at a time.
Just checking in.,neutral,I’m here with you. What would you like to talk about?
"Ugh, that was nasty after everything that happened.",disgust,Sounds like a seriously unpleasant experience. Give yourself a little space from it.
Absolutely unpleasant honestly.,disgust,Your reaction sounds strong and understandable given what you encountered. Creating some distance may help.
"Right now, i’m just checking in lately.",neutral,I’m here with you. What would you like to talk about?
I’m fed up with this tonight.,anger,It sounds like you’ve reached your limit. You deserve a moment to step back and breathe before deciding what to do next.
"Lately, i did not see that coming lately.",surprise,Unexpected moments can take a second to process. What part surprised you most? You can take it one moment at a time.
This made my whole day more than usual.,joy,It sounds like that moment really lifted you. Hold onto what made it meaningful.
"For some reason, wait, that actually happened?",surprise,That sounds like quite a surprise. Give yourself a moment to take it in.
"Right now, i had such a good day honestly.",joy,I’m happy your day treated you well. Those ordinary good days are worth noticing.
"Right now, today feels special at the moment.",joy,There’s something refreshing about a day that feels special. Enjoy it at your own pace.
"Lately, that was absolutely revolting tonight.",disgust,That sounds deeply unpleasant. You don’t have to stay around something that makes you feel that uncomfortable You can take it one moment at a time.
"Honestly, i feel really anxious about this lately.",fear,"It sounds like this situation has your mind on high alert. Try narrowing your attention to the next small, manageable step."
My mind won’t stop worrying more than usual.,fear,"When worries keep looping, it can help to pause and notice what is actually happening in the present moment."
I miss how things used to be honestly.,sadness,"Missing the past can hurt, especially when it carries meaningful memories. It’s okay to acknowledge that feeling."
"Honestly, i did not see that coming this morning.",surprise,Unexpected moments can take a second to process. What part surprised you most?
"Whoa, seriously more than usual.",surprise,That definitely sounds unexpected. Sometimes a little pause helps the surprise settle.
"Honestly, i’m disgusted by what happened more than usual.",disgust,Your reaction sounds strong and understandable given what you encountered. Creating some distance may help.
"Right now, got some amazing news this morning.",joy,Wonderful news can brighten everything. What part of it feels best to you?
I guess i can’t stand the smell.,disgust,"Strong unpleasant smells can be overwhelming. If you can, move somewhere with fresher air and give yourself a reset There’s no need to rush your response."
"Honestly, i’m trying to understand myself better after everything that happened.",neutral,That sounds like a worthwhile goal. We can look at what you’ve been noticing without rushing to conclusions.
I feel lonely even around people honestly.,sadness,Feeling alone while surrounded by others can be especially painful. It may help to name what kind of connection you’re missing.
"Right now, i’m disappointed and sad honestly.",sadness,That combination can weigh heavily. It’s okay to recognize both the disappointment and the sadness.
"Lately, i can’t stand the smell tonight.",disgust,"Strong unpleasant smells can be overwhelming. If you can, move somewhere with fresher air and give yourself a reset You can take it one moment at a time."
"For some reason, that was completely unexpected.",surprise,Sounds like the situation changed quickly. Take some time to process what happened.
"Honestly, i keep thinking about what I lost this morning.",sadness,It makes sense that a loss can keep returning to your thoughts. You can acknowledge the sadness without judging yourself for it.
Feeling low.,sadness,It sounds like things feel unusually flat right now. Taking the day slowly may be kinder than demanding too much from yourself You can take it one moment at a time.
"Honestly, that really grosses me out for some reason.",disgust,It sounds like that crossed a strong comfort boundary for you. It’s okay to step away from what feels unpleasant.
I guess i’m disgusted by what happened honestly.,disgust,Your reaction sounds strong and understandable given what you encountered. Creating some distance may help There’s no need to rush your response.
"Honestly, seriously? I’m stunned.",surprise,You sound genuinely surprised. Take a breath and give yourself time to process the new information.
"For some reason, that is just gross at the moment.",disgust,I hear how strongly you dislike it. Sometimes the best response is simply to remove yourself from the unpleasant situation.
"Honestly, i’m afraid to find out for some reason.",fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once.
Today just hurts more than usual.,sadness,"I hear how painful today feels. For now, being gentle with yourself is enough."
"Lately, i feel really anxious about this.",fear,"It sounds like this situation has your mind on high alert. Try narrowing your attention to the next small, manageable step You can take it one moment at a time."
"For some reason, i keep thinking about what I lost this morning.",sadness,It makes sense that a loss can keep returning to your thoughts. You can acknowledge the sadness without judging yourself for it.
"For some reason, today was pretty normal more than usual.",neutral,"Sometimes a normal day is simply a normal day. What stood out, if anything?"
"Lately, that really grosses me out this morning.",disgust,It sounds like that crossed a strong comfort boundary for you. It’s okay to step away from what feels unpleasant You can take it one moment at a time.
Today feels special lately.,joy,There’s something refreshing about a day that feels special. Enjoy it at your own pace.
I guess my mind won’t stop worrying today.,fear,"When worries keep looping, it can help to pause and notice what is actually happening in the present moment There’s no need to rush your response."
I guess i’m afraid to find out for some reason.,fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once There’s no need to rush your response.
"Right now, that really grosses me out after everything that happened.",disgust,It sounds like that crossed a strong comfort boundary for you. It’s okay to step away from what feels unpleasant.
"Right now, i’m annoyed beyond words after everything that happened.",anger,That sounds like a lot of irritation building up. A short break may help you sort out what specifically crossed the line.
"For some reason, i never imagined this would happen for some reason.",surprise,That kind of unexpected turn can leave you searching for words. Give yourself space to take it in.
I guess i’m not sure what I’m feeling today.,neutral,That’s okay. You don’t need to label everything immediately; we can explore it together There’s no need to rush your response.
"For some reason, i’m scared about tomorrow honestly.",fear,"Uncertainty can make tomorrow feel much bigger than it is. For now, focus on what you can handle today."
Things are finally going my way honestly.,joy,It’s great to hear that things are clicking into place. Take a moment to appreciate the progress.
"Right now, i keep thinking about what I lost.",sadness,It makes sense that a loss can keep returning to your thoughts. You can acknowledge the sadness without judging yourself for it.
"For some reason, i feel sickened by this.",disgust,That reaction shows how strongly the situation affected you. Stepping back can help you regain some comfort.
I’m scared after everything that happened.,fear,"Uncertainty can make tomorrow feel much bigger than it is. For now, focus on what you can handle today."
"For some reason, i can’t believe it this morning.",surprise,That sounds like a big surprise. Let yourself absorb the moment before deciding what it means.
